# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.cerevisiae_M3707/predict_misc/busco.evm.proteins.fa -o s.cerevisiae_m3707_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m proteins -c 28 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Missing
EOG09260075	Missing
EOG0926009O	Missing
EOG092600NM	Complete	evm.model.scaffold_9.11	3784.9	2033
EOG092600S9	Missing
EOG092600SD	Complete	evm.model.scaffold_5.40	1072.9	1211
EOG092600SK	Complete	evm.model.scaffold_19.1	1084.7	1066
EOG092600T4	Complete	evm.model.scaffold_7.9	3205.9	1832
EOG092600T9	Complete	evm.model.scaffold_1.14	3039.5	1741
EOG092600W1	Complete	evm.model.scaffold_7.78	2476.7	1693
EOG092600X0	Complete	evm.model.scaffold_17.7	1183.2	1063
EOG092600XJ	Complete	evm.model.scaffold_18.16	1355.6	1208
EOG092601KZ	Complete	evm.model.scaffold_4.81	1311.7	837
EOG092601YK	Complete	evm.model.scaffold_11.29	1652.9	1570
EOG0926025H	Complete	evm.model.scaffold_8.50	377.9	582
EOG09260274	Complete	evm.model.scaffold_3.17	604.6	750
EOG09260289	Complete	evm.model.scaffold_19.12	745.7	732
EOG092602BZ	Complete	evm.model.scaffold_6.72	2412.1	1443
EOG092602FH	Complete	evm.model.scaffold_4.82	1207.5	978
EOG092602I6	Complete	evm.model.scaffold_4.61	1846.1	1310
EOG092602MO	Complete	evm.model.scaffold_7.70	626.6	746
EOG092602OP	Complete	evm.model.scaffold_5.30	975.1	921
EOG092602UY	Complete	evm.model.scaffold_1.85	1548.8	1259
EOG09260375	Complete	evm.model.scaffold_7.36	1189.1	1015
EOG092603D0	Complete	evm.model.scaffold_5.36	1540.4	1067
EOG092603EH	Complete	evm.model.scaffold_3.84	1253.4	839
EOG092603JK	Complete	evm.model.scaffold_6.14	609.1	983
EOG092603KJ	Complete	evm.model.scaffold_2.11	1033.3	712
EOG092603SM	Missing
EOG092603YJ	Complete	evm.model.scaffold_3.23	1177.4	1381
EOG0926047G	Complete	evm.model.scaffold_16.5	1654.6	1183
