# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.cerevisiae_S288C/predict_misc/busco.evm.proteins.fa -o s.cerevisiae_s288c_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m proteins -c 28 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Missing
EOG09260075	Missing
EOG0926009O	Missing
EOG092600NM	Missing
EOG092600S9	Missing
EOG092600SD	Complete	evm.model.scaffold_7.40	1072.8	1211
EOG092600SK	Complete	evm.model.scaffold_14.29	1086.3	1065
EOG092600T4	Complete	evm.model.scaffold_8.87	3208.5	1832
EOG092600T9	Complete	evm.model.scaffold_1.14	3043.3	1741
EOG092600W1	Complete	evm.model.scaffold_8.20	2476.5	1694
EOG092600X0	Complete	evm.model.scaffold_15.19	1181.1	1063
EOG092600XJ	Complete	evm.model.scaffold_3.98	1355.9	1208
EOG092601KZ	Complete	evm.model.scaffold_5.26	1312.2	837
EOG092601YK	Complete	evm.model.scaffold_13.4	1653.9	1570
EOG0926025H	Complete	evm.model.scaffold_10.49	377.2	582
EOG09260274	Complete	evm.model.scaffold_6.85	604.7	750
EOG09260289	Complete	evm.model.scaffold_14.17	745.4	731
EOG092602BZ	Complete	evm.model.scaffold_3.14	2411.0	1443
EOG092602FH	Complete	evm.model.scaffold_5.25	1206.3	977
EOG092602I6	Complete	evm.model.scaffold_5.45	1848.7	1310
EOG092602MO	Complete	evm.model.scaffold_8.28	627.1	744
EOG092602OP	Complete	evm.model.scaffold_7.30	972.3	921
EOG092602UY	Complete	evm.model.scaffold_1.87	1549.5	1259
EOG09260375	Complete	evm.model.scaffold_8.61	1198.0	962
EOG092603D0	Complete	evm.model.scaffold_7.36	1540.9	1067
EOG092603EH	Complete	evm.model.scaffold_6.16	1253.5	838
EOG092603JK	Complete	evm.model.scaffold_3.70	613.0	795
EOG092603KJ	Complete	evm.model.scaffold_2.100	1031.0	711
EOG092603SM	Missing
EOG092603YJ	Complete	evm.model.scaffold_6.78	1175.1	1380
EOG0926047G	Complete	evm.model.scaffold_9.70	1656.6	1160
EOG09260492	Complete	evm.model.scaffold_3.76	994.3	1039
EOG0926049A	Complete	evm.model.scaffold_2.103	485.7	675
EOG0926049S	Complete	evm.model.scaffold_8.45	746.0	832
EOG092604A0	Complete	evm.model.scaffold_1.91	523.7	829
EOG092604I8	Complete	evm.model.scaffold_9.71	764.5	764
EOG092604KQ	Complete	evm.model.scaffold_1.116	737.7	929
EOG092604MJ	Complete	evm.model.scaffold_8.10	700.8	1061
EOG092604ML	Complete	evm.model.scaffold_9.33	589.2	981
EOG092604S1	Complete	evm.model.scaffold_2.54	359.5	443
EOG092604ZZ	Complete	evm.model.scaffold_6.56	571.9	737
EOG0926051U	Complete	evm.model.scaffold_9.16	755.7	1071
EOG092605FC	Missing
EOG092605KN	Complete	evm.model.scaffold_14.15	905.7	691
EOG092605OK	Complete	evm.model.scaffold_2.104	1874.5	1289
EOG092605QM	Complete	evm.model.scaffold_1.80	786.8	999
EOG092605T6	Missing
EOG092605VL	Complete	evm.model.scaffold_8.50	729.3	816
