#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession      qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- --------------------    ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
4209                 -            811 PIRSR000094-1        PIRSR000094-1   260   7.1e-12   40.1   0.0   1   1   2.1e-14   1.2e-11   39.3   0.0    47   249   578   798   531   806 0.72 -
4209                 -            811 PIRSR000094-2        PIRSR000094-2   260   7.1e-12   40.1   0.0   1   1   2.1e-14   1.2e-11   39.3   0.0    47   249   578   798   531   806 0.72 -
4209                 -            811 PIRSR000094-3        PIRSR000094-3   260   7.1e-12   40.1   0.0   1   1   2.1e-14   1.2e-11   39.3   0.0    47   249   578   798   531   806 0.72 -
4209                 -            811 PIRSR000094-4        PIRSR000094-4   260   7.1e-12   40.1   0.0   1   1   2.1e-14   1.2e-11   39.3   0.0    47   249   578   798   531   806 0.72 -
4549                 -            338 PIRSR000095-1        PIRSR000095-1   268   2.9e-19   64.4   0.0   1   1   2.6e-21   3.8e-19   64.0   0.0     1   183    89   270    89   275 0.93 -
4164                 -            252 PIRSR000095-1        PIRSR000095-1   268   5.6e-17   56.9   0.3   1   1   4.8e-19   6.9e-17   56.6   0.3     1   204     5   209     5   215 0.81 -
4209                 -            811 PIRSR000095-1        PIRSR000095-1   268   1.4e-05   19.6   0.2   1   1   3.4e-07   4.9e-05   17.8   0.2     2   179   537   744   536   760 0.72 -
4042                 -            351 PIRSR000095-1        PIRSR000095-1   268   0.00019   15.9   0.0   1   2    0.0001     0.015    9.6   0.0     1    89     6   112     6   125 0.67 -
4042                 -            351 PIRSR000095-1        PIRSR000095-1   268   0.00019   15.9   0.0   2   2    0.0067      0.97    3.7   0.0    87   132   137   183   132   203 0.86 -
4549                 -            338 PIRSR000095-2        PIRSR000095-2   268   2.9e-19   64.4   0.0   1   1   2.6e-21   3.8e-19   64.0   0.0     1   183    89   270    89   275 0.93 -
4164                 -            252 PIRSR000095-2        PIRSR000095-2   268   5.6e-17   56.9   0.3   1   1   4.8e-19   6.9e-17   56.6   0.3     1   204     5   209     5   215 0.81 -
4209                 -            811 PIRSR000095-2        PIRSR000095-2   268   1.4e-05   19.6   0.2   1   1   3.4e-07   4.9e-05   17.8   0.2     2   179   537   744   536   760 0.72 -
4042                 -            351 PIRSR000095-2        PIRSR000095-2   268   0.00019   15.9   0.0   1   2    0.0001     0.015    9.6   0.0     1    89     6   112     6   125 0.67 -
4042                 -            351 PIRSR000095-2        PIRSR000095-2   268   0.00019   15.9   0.0   2   2    0.0067      0.97    3.7   0.0    87   132   137   183   132   203 0.86 -
4567                 -            703 PIRSR000097-1        PIRSR000097-1   236   1.5e-50  166.6   0.0   1   2   4.7e-27   9.1e-25   82.2   0.0     1   105    11   108    11   115 0.94 -
4567                 -            703 PIRSR000097-1        PIRSR000097-1   236   1.5e-50  166.6   0.0   2   2   9.1e-27   1.8e-24   81.3   0.0   105   234   139   275   137   278 0.88 -
4052                 -            303 PIRSR000097-1        PIRSR000097-1   236   6.9e-28   92.4   0.0   1   3   6.8e-08   1.3e-05   19.5   0.0    26    77     2    53     1    72 0.80 -
4052                 -            303 PIRSR000097-1        PIRSR000097-1   236   6.9e-28   92.4   0.0   2   3   1.8e-14   3.5e-12   41.0   0.0    80   187    81   200    72   207 0.83 -
4052                 -            303 PIRSR000097-1        PIRSR000097-1   236   6.9e-28   92.4   0.0   3   3   1.3e-10   2.5e-08   28.4   0.0   180   235   235   290   233   291 0.95 -
4489                 -            332 PIRSR000097-1        PIRSR000097-1   236   6.8e-21   69.5   0.0   1   2   6.3e-22   1.2e-19   65.4   0.0    15   143    24   175    11   202 0.80 -
4489                 -            332 PIRSR000097-1        PIRSR000097-1   236   6.8e-21   69.5   0.0   2   2     0.027       5.3    1.1   0.0   177   220   244   290   236   303 0.69 -
