YLR106C	4911	29	4908	scaffold_1	2798491	922584	907819	48.0	4990	0.0e+00	9271	0.5	-2
YHR099W	3745	6	3745	scaffold_1	2798491	2462849	2474311	48.0	3864	0.0e+00	9004	0.4	2
YKL182W	2052	7	2052	scaffold_1	2798491	551451	545269	62.7	2068	0.0e+00	6730	0.2	-2
YPL231W	1888	1	1884	scaffold_1	2798491	1947401	1953031	69.1	1892	0.0e+00	6543	0.2	2
YNL262W	2223	9	2213	scaffold_1	2798491	154086	160628	54.8	2244	0.0e+00	6306	0.2	3
YGR271W	1968	3	1959	scaffold_1	2798491	1070246	1076041	60.2	1971	0.0e+00	5953	0.2	2
YGR271W	1968	38	1929	scaffold_1	2798491	1509084	1503412	31.1	1949	5.1e-261	2340	0.2	-2
YLL040C	3145	1	3145	scaffold_1	2798491	965178	974564	40.0	3200	0.0e+00	5905	0.3	3
YGL206C	1654	2	1652	scaffold_1	2798491	2417376	2412433	66.5	1656	0.0e+00	5745	0.2	-2
YNR016C	2234	605	2233	scaffold_1	2798491	1855259	1860190	64.9	1650	0.0e+00	5525	0.2	2
YNR016C	2234	20	606	scaffold_1	2798491	1853503	1855263	77.5	587	5.3e-274	2452	0.1	1
YPR010C	1204	8	1204	scaffold_1	2798491	2007915	2011424	76.1	1197	0.0e+00	4916	0.1	3
YLR342W	1877	145	1874	scaffold_1	2798491	420132	415003	54.2	1740	0.0e+00	4740	0.2	-2
YGR032W	1896	140	1893	scaffold_1	2798491	420201	415003	53.8	1764	0.0e+00	4716	0.2	-2
YMR306W	1786	15	1758	scaffold_1	2798491	420123	415078	52.2	1746	0.0e+00	4496	0.2	-2
YGR061C	1359	1	1357	scaffold_1	2798491	2428913	2424882	65.6	1374	0.0e+00	4489	0.1	-3
YER172C	2164	17	2163	scaffold_1	2798491	1509696	1503301	42.6	2179	0.0e+00	4450	0.2	-2
YER172C	2164	268	2118	scaffold_1	2798491	1070417	1075927	31.8	1906	1.3e-269	2414	0.2	2
YOR153W	1512	27	1511	scaffold_1	2798491	1298181	1302566	56.0	1490	0.0e+00	4298	0.2	3
YOR153W	1512	158	1411	scaffold_1	2798491	2786521	2782844	22.4	1341	2.8e-41	445	0.1	-1
YBR115C	1393	3	1390	scaffold_1	2798491	1687285	1691472	59.6	1420	0.0e+00	4219	0.1	1
YDR135C	1516	7	1512	scaffold_1	2798491	2562232	2566653	56.7	1521	0.0e+00	4201	0.2	1
