YDR457W	3269	1	3269	scaffold_1	1531919	1369783	1379589	100.0	3269	0.0e+00	15766	0.6	1
YDL171C	2146	1	2146	scaffold_1	1531919	155641	149204	100.0	2146	0.0e+00	11007	0.4	-2
YDR170C	2010	1	2010	scaffold_1	1531919	802220	796191	100.0	2010	0.0e+00	8979	0.4	-1
YGR296W	1860	20	1860	scaffold_1	1531919	1526172	1531697	99.1	1842	0.0e+00	8568	0.4	3
YPL283C	1860	20	1860	scaffold_1	1531919	1526172	1531697	99.1	1842	0.0e+00	8568	0.4	3
YNL339C	1860	20	1860	scaffold_1	1531919	1526172	1531697	99.1	1842	0.0e+00	8564	0.4	3
YDR141C	1699	1	1699	scaffold_1	1531919	739995	734899	100.0	1699	0.0e+00	8554	0.3	-3
YDR545W	1797	1	1797	scaffold_1	1531919	1526307	1531697	100.0	1797	0.0e+00	8418	0.4	3
YLR467W	1797	1	1797	scaffold_1	1531919	1526307	1531697	100.0	1797	0.0e+00	8418	0.4	3
YOR396W	1797	1	1797	scaffold_1	1531919	1526307	1531697	100.0	1797	0.0e+00	8418	0.4	3
YDR093W	1613	1	1613	scaffold_1	1531919	631280	636118	100.0	1613	0.0e+00	8261	0.3	2
YDR127W	1589	1	1589	scaffold_1	1531919	704482	709248	100.0	1589	0.0e+00	8195	0.3	1
YDL140C	1734	1	1533	scaffold_1	1531919	210562	205964	100.0	1533	0.0e+00	7941	0.3	-2
YDR283C	1660	1	1660	scaffold_1	1531919	1030046	1025067	100.0	1660	0.0e+00	7891	0.3	-1
YDR283C	1660	784	976	scaffold_1	1531919	1465464	1464928	31.3	198	4.9e-16	225	0.0	-3
YDR283C	1660	781	969	scaffold_1	1531919	1395366	1395875	33.5	197	2.7e-14	210	0.0	3
YDR283C	1660	770	997	scaffold_1	1531919	281053	280361	27.3	253	1.3e-13	204	0.0	-2
YER190W	1682	1	1682	scaffold_1	1531919	1526649	1531697	99.3	1683	0.0e+00	7765	0.3	3
YDR135C	1516	1	1516	scaffold_1	1531919	727549	723002	100.0	1516	0.0e+00	7669	0.3	-2
YDR406W	1530	1	1530	scaffold_1	1531919	1279203	1283792	99.9	1530	0.0e+00	7584	0.3	3
YDR406W	1530	138	1516	scaffold_1	1531919	466301	470350	38.6	1385	9.3e-273	2439	0.3	2
YDR011W	1502	1	1502	scaffold_1	1531919	465917	470422	100.0	1502	0.0e+00	7495	0.3	2
YDR011W	1502	129	1478	scaffold_1	1531919	1279614	1283750	38.6	1385	3.1e-276	2469	0.3	3
YDR180W	1494	1	1494	scaffold_1	1531919	821293	825774	100.0	1494	0.0e+00	7464	0.3	1
YDL112W	1437	1	1437	scaffold_1	1531919	258915	263225	100.0	1437	0.0e+00	7357	0.3	3
YIL177C	1759	1	1759	scaffold_1	1531919	1526307	1531697	86.9	1889	0.0e+00	7328	0.4	3
YJL225C	1759	1	1759	scaffold_1	1531919	1526307	1531697	86.8	1889	0.0e+00	7316	0.4	3
YDR334W	1515	1	1515	scaffold_1	1531919	1135928	1140472	100.0	1515	0.0e+00	7095	0.3	2
